epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.00755,2.14431,3.8584,4.74283,2.21104,0,0.00067,0.2,0.00046,5e-05,0.00067,0.2,0.00046,9e-05,2.05987,2.91096,5.46207,2.84772,0,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022
2,15.8676,1.83333,3.0595,4.18273,1.99997,0,0.00067,0.2,0.00068,0.00055,0.00067,0.2,0.00068,0.00055,1.46311,2.46523,4.203,2.0935,0,0.00136634,0.000455446,0.00136634,0.000455446,0.00136634,0.000455446,0.00136634,0.000455446
3,22.6773,1.29013,2.03662,2.55645,1.43297,0,0.98447,0.8,0.96167,0.64834,0.98447,0.8,0.96167,0.69296,1.32633,1.76487,1.69862,1.26128,0,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614
4,28.9998,0.90811,1.44544,1.30817,1.09764,0,1,0.9976,0.995,0.78645,1,0.9976,0.995,0.82237,0.79091,1.19966,0.83492,0.94955,0,0.00273625,0.000912082,0.00273625,0.000912082,0.00273625,0.000912082,0.00273625,0.000912082
5,35.435,0.8385,1.26433,0.91481,1.00827,0,0.99378,1,0.995,0.86032,0.99378,1,0.995,0.83954,0.57219,1.03902,0.41028,0.84151,0,0.00339982,0.00113327,0.00339982,0.00113327,0.00339982,0.00113327,0.00339982,0.00113327
6,41.4373,0.82217,1.15638,0.6787,0.97406,0,0.99051,1,0.995,0.87146,0.99051,1,0.995,0.86753,0.59316,0.89698,0.51012,0.85536,0,0.00404913,0.00134971,0.00404913,0.00134971,0.00404913,0.00134971,0.00404913,0.00134971
7,47.5316,0.77262,1.04845,0.77191,0.94262,0,0.99126,1,0.995,0.91503,0.99126,1,0.995,0.89507,0.50587,0.88477,0.33972,0.82233,0,0.00468419,0.0015614,0.00468419,0.0015614,0.00468419,0.0015614,0.00468419,0.0015614
8,53.2482,0.74818,1.02425,0.54019,0.9394,0,0.9903,1,0.995,0.88132,0.9903,1,0.995,0.84722,0.54284,1.00006,0.45434,0.84893,0,0.00530499,0.00176833,0.00530499,0.00176833,0.00530499,0.00176833,0.00530499,0.00176833
9,59.108,0.67843,0.95054,0.69993,0.93324,0,0.9913,1,0.995,0.92508,0.9913,1,0.995,0.83671,0.53492,0.97422,0.29997,0.83535,0,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,64.6415,0.73009,0.98158,0.5407,0.95075,0,0.98896,1,0.995,0.92311,0.98896,1,0.995,0.8955,0.49444,0.91774,0.38458,0.82354,0,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,70.6632,0.66753,0.92491,0.57756,0.92276,0,0.99131,1,0.995,0.9151,0.99131,1,0.995,0.83966,0.52832,0.96382,0.26104,0.83222,0,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,76.2383,0.65093,1.05197,0.4328,0.92407,0,0.99117,1,0.995,0.90053,0.99117,1,0.995,0.81204,0.4944,0.93819,0.28983,0.83101,0,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,82.1396,0.64633,0.96066,0.50251,0.93834,0,0.99101,1,0.995,0.90231,0.99101,1,0.995,0.87182,0.48382,0.97907,0.24162,0.82667,0,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,87.7748,0.65653,0.93056,0.40704,0.9123,0,0.99028,1,0.995,0.87193,0.99028,1,0.995,0.8955,0.55011,0.93648,0.26077,0.84876,0,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,93.6461,0.66385,0.95646,0.42831,0.9434,0,0.99079,1,0.995,0.8516,0.99079,1,0.995,0.84647,0.52567,0.99404,0.2414,0.84761,0,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,99.1624,0.67223,0.89678,0.38436,0.94571,0,0.99064,1,0.995,0.90438,0.99064,1,0.995,0.8955,0.49956,0.90157,0.25337,0.83231,0,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,105.067,0.66682,0.93089,0.36906,0.93589,0,0.9899,1,0.995,0.88398,0.9899,1,0.995,0.86541,0.50978,0.87023,0.22192,0.84588,0,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,110.721,0.74379,0.97508,0.37524,0.95873,0,0.99028,1,0.995,0.88193,0.99028,1,0.995,0.90301,0.43932,0.89212,0.22551,0.82027,0,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,116.558,0.67291,0.89634,0.33581,0.89542,0,0.98808,1,0.995,0.85198,0.98808,1,0.995,0.90393,0.55942,0.87945,0.28902,0.84362,0,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
